date,mtg_purchase,mtg_refi,pct_chg_mtg_purchase,pct_cht_mtg_refi
1990-01-01,31,7,,
1990-02-01,31,7,,
1990-03-01,31,7,,
1990-04-01,36,5,,
1990-05-01,36,5,,
1990-06-01,36,5,,
1990-07-01,35,5,,
1990-08-01,35,5,,
1990-09-01,35,5,,
1990-10-01,28,5,,
1990-11-01,28,5,,
1990-12-01,28,5,,
1991-01-01,25,11,-21.28,45.45
1991-02-01,25,11,-21.28,45.45
1991-03-01,25,11,-21.28,45.45
1991-04-01,33,12,-6.54,118.75
1991-05-01,33,12,-6.54,118.75
1991-06-01,33,12,-6.54,118.75
1991-07-01,40,11,15.38,100.00
1991-08-01,40,11,15.38,100.00
1991-09-01,40,11,15.38,100.00
1991-10-01,30,26,8.33,387.50
1991-11-01,30,26,8.33,387.50
1991-12-01,30,26,8.33,387.50
1992-01-01,31,44,24.32,315.63
1992-02-01,31,44,24.32,315.63
1992-03-01,31,44,24.32,315.63
1992-04-01,48,24,44.00,102.86
1992-05-01,48,24,44.00,102.86
1992-06-01,48,24,44.00,102.86
1992-07-01,39,34,-2.50,221.88
1992-08-01,39,34,-2.50,221.88
1992-09-01,39,34,-2.50,221.88
1992-10-01,40,38,30.77,46.15
1992-11-01,40,38,30.77,46.15
1992-12-01,40,38,30.77,46.15
1993-01-01,37,27,19.57,-39.85
1993-02-01,37,27,19.57,-39.85
1993-03-01,37,27,19.57,-39.85
1993-04-01,39,44,-18.75,85.92
1993-05-01,39,44,-18.75,85.92
1993-06-01,39,44,-18.75,85.92
1993-07-01,47,49,21.37,43.69
1993-08-01,47,49,21.37,43.69
1993-09-01,47,49,21.37,43.69
1993-10-01,39,58,-1.68,53.51
1993-11-01,39,58,-1.68,53.51
1993-12-01,39,58,-1.68,53.51
1994-01-01,45,42,23.64,57.50
1994-02-01,45,42,23.64,57.50
1994-03-01,45,42,23.64,57.50
1994-04-01,55,16,41.03,-62.88
1994-05-01,55,16,41.03,-62.88
1994-06-01,55,16,41.03,-62.88
1994-07-01,46,7,-3.52,-86.49
1994-08-01,46,7,-3.52,-86.49
1994-09-01,46,7,-3.52,-86.49
1994-10-01,40,5,1.71,-90.86
1994-11-01,40,5,1.71,-90.86
1994-12-01,40,5,1.71,-90.86
1995-01-01,35,4,-22.06,-89.68
1995-02-01,35,4,-22.06,-89.68
1995-03-01,35,4,-22.06,-89.68
1995-04-01,41,6,-26.06,-63.27
1995-05-01,41,6,-26.06,-63.27
1995-06-01,41,6,-26.06,-63.27
1995-07-01,46,17,1.46,155.00
1995-08-01,46,17,1.46,155.00
1995-09-01,46,17,1.46,155.00
1995-10-01,42,21,6.72,293.75
1995-11-01,42,21,6.72,293.75
1995-12-01,42,21,6.72,293.75
1996-01-01,34,31,-4.72,615.38
1996-02-01,34,31,-4.72,615.38
1996-03-01,34,31,-4.72,615.38
1996-04-01,52,18,27.05,200.00
1996-05-01,52,18,27.05,200.00
1996-06-01,52,18,27.05,200.00
1996-07-01,53,11,13.67,-37.25
1996-08-01,53,11,13.67,-37.25
1996-09-01,53,11,13.67,-37.25
1996-10-01,48,15,14.17,-26.98
1996-11-01,48,15,14.17,-26.98
1996-12-01,48,15,14.17,-26.98
1997-01-01,41,17,21.78,-46.24
1997-02-01,41,17,21.78,-46.24
1997-03-01,41,17,21.78,-46.24
1997-04-01,52,14,0.00,-24.07
1997-05-01,52,14,0.00,-24.07
1997-06-01,52,14,0.00,-24.07
1997-07-01,54,20,2.53,87.50
1997-08-01,54,20,2.53,87.50
1997-09-01,54,20,2.53,87.50
1997-10-01,50,31,3.45,100.00
1997-11-01,50,31,3.45,100.00
1997-12-01,50,31,3.45,100.00
1998-01-01,50,61,21.14,264.00
