year,period,tx_unemployed,tx_lbr_pool,tx_u_rate,tx_wage,date,pct_chg_tx_lbr_pool,pct_chg_tx_wage
2007,M01,142322,5986227,2.4,22.25643997,2007-01-01,,
2007,M02,135350,5974468,2.3,22.28686769,2007-02-01,-0.20,-4.17
2007,M03,123433,5986862,2.1,22.71955024,2007-03-01,0.21,-8.70
2007,M04,120144,5977430,2,23.17565556,2007-04-01,-0.16,-4.76
2007,M05,121126,5987626,2,23.059917,2007-05-01,0.17,0.00
2007,M06,141515,6062070,2.3,22.67370604,2007-06-01,1.24,15.00
2007,M07,143146,6093356,2.3,23.19286275,2007-07-01,0.52,0.00
2007,M08,133733,6040237,2.2,23.16864375,2007-08-01,-0.87,-4.35
2007,M09,135177,6072805,2.2,23.32999439,2007-09-01,0.54,0.00
2007,M10,125219,6077897,2.1,23.06434729,2007-10-01,0.08,-4.55
2007,M11,128186,6114246,2.1,23.32221851,2007-11-01,0.60,0.00
2007,M12,131247,6106107,2.1,23.67348538,2007-12-01,-0.13,0.00
2008,M01,141689,6095879,2.3,23.36854739,2008-01-01,-0.17,9.52
2008,M02,131706,6080708,2.2,23.63146372,2008-02-01,-0.25,-4.35
2008,M03,130254,6110301,2.1,23.64148138,2008-03-01,0.49,-4.55
2008,M04,120966,6136740,2,23.62233373,2008-04-01,0.43,-4.76
2008,M05,136594,6152258,2.2,23.19310467,2008-05-01,0.25,10.00
2008,M06,158419,6219533,2.5,23.51926861,2008-06-01,1.09,13.64
2008,M07,162639,6262431,2.6,23.58027331,2008-07-01,0.69,4.00
2008,M08,163135,6233425,2.6,23.38297049,2008-08-01,-0.46,0.00
2008,M09,160535,6216327,2.6,23.85153666,2008-09-01,-0.27,0.00
2008,M10,166689,6275450,2.7,24.08149388,2008-10-01,0.95,3.85
2008,M11,168333,6276481,2.7,24.52091593,2008-11-01,0.02,0.00
2008,M12,172486,6270789,2.8,23.98101288,2008-12-01,-0.09,3.70
2009,M01,198709,6249734,3.2,23.95008326,2009-01-01,-0.34,14.29
2009,M02,203807,6255598,3.3,24.04435747,2009-02-01,0.09,3.12
2009,M03,205292,6252403,3.3,24.01757602,2009-03-01,-0.05,0.00
2009,M04,197073,6251971,3.2,23.84253452,2009-04-01,-0.01,-3.03
2009,M05,239239,6306437,3.8,23.99147517,2009-05-01,0.87,18.75
2009,M06,280270,6385738,4.4,24.17129718,2009-06-01,1.26,15.79
2009,M07,287991,6423929,4.5,24.43253955,2009-07-01,0.60,2.27
2009,M08,282447,6372317,4.4,24.24407603,2009-08-01,-0.80,-2.22
2009,M09,280634,6366423,4.4,24.05101183,2009-09-01,-0.09,0.00
2009,M10,275565,6365120,4.3,24.09816236,2009-10-01,-0.02,-2.27
2009,M11,270351,6370656,4.2,24.23742675,2009-11-01,0.09,-2.33
2009,M12,270296,6352788,4.3,24.01996473,2009-12-01,-0.28,2.38
2010,M01,293683,6463169,4.5,24.05629289,2010-01-01,1.74,4.65
2010,M02,286490,6484397,4.4,24.13865225,2010-02-01,0.33,-2.22
2010,M03,285032,6508660,4.4,24.00631396,2010-03-01,0.37,0.00
2010,M04,274783,6577200,4.2,24.1458961,2010-04-01,1.05,-4.55
2010,M05,274296,6559092,4.2,24.28207249,2010-05-01,-0.28,0.00
2010,M06,292272,6576776,4.4,24.29757944,2010-06-01,0.27,4.76
2010,M07,294610,6617460,4.5,24.37331463,2010-07-01,0.62,2.27
2010,M08,287226,6607296,4.3,24.42790738,2010-08-01,-0.15,-4.44
2010,M09,279620,6623184,4.2,24.35933123,2010-09-01,0.24,-2.33
2010,M10,274081,6610824,4.1,24.45414196,2010-10-01,-0.19,-2.38
2010,M11,285181,6640325,4.3,24.373685,2010-11-01,0.45,4.88
2010,M12,274602,6636874,4.1,24.33890373,2010-12-01,-0.05,-4.65
2011,M01,289473,6649626,4.4,24.57605473,2011-01-01,0.19,7.32
2011,M02,278687,6663293,4.2,24.72905711,2011-02-01,0.21,-4.55
2011,M03,272188,6687194,4.1,24.43721453,2011-03-01,0.36,-2.38
2011,M04,263080,6698039,3.9,24.67922947,2011-04-01,0.16,-4.88
2011,M05,269903,6710760,4,24.48156351,2011-05-01,0.19,2.56
2011,M06,296922,6753908,4.4,24.2105455,2011-06-01,0.64,10.00
2011,M07,292656,6765899,4.3,24.59647242,2011-07-01,0.18,-2.27
2011,M08,283877,6750472,4.2,24.24705103,2011-08-01,-0.23,-2.33
2011,M09,278738,6795594,4.1,24.51141742,2011-09-01,0.67,-2.38
2011,M10,263328,6801270,3.9,24.84072252,2011-10-01,0.08,-4.88
2011,M11,251859,6802758,3.7,24.83675746,2011-11-01,0.02,-5.13
2011,M12,246387,6809439,3.6,24.68011376,2011-12-01,0.10,-2.70
2012,M01,255836,6790662,3.8,24.96724889,2012-01-01,-0.28,5.56
2012,M02,248726,6823660,3.6,24.51305712,2012-02-01,0.49,-5.26
2012,M03,238790,6840545,3.5,24.42857115,2012-03-01,0.25,-2.78
2012,M04,225419,6833728,3.3,24.67228305,2012-04-01,-0.10,-5.71
2012,M05,236333,6873998,3.4,24.26958061,2012-05-01,0.59,3.03
2012,M06,261154,6921450,3.8,24.17453383,2012-06-01,0.69,11.76
2012,M07,259934,6941571,3.7,24.74598923,2012-07-01,0.29,-2.63
2012,M08,243736,6895117,3.5,24.35741335,2012-08-01,-0.67,-5.41
2012,M09,226459,6945123,3.3,24.97164925,2012-09-01,0.73,-5.71
2012,M10,221800,6975535,3.2,24.75057923,2012-10-01,0.44,-3.03
2012,M11,214832,6956829,3.1,24.7635305,2012-11-01,-0.27,-3.13
2012,M12,221140,6976626,3.2,25.10446708,2012-12-01,0.28,3.23
2013,M01,247131,6985351,3.5,25.05817724,2013-01-01,0.13,9.38
2013,M02,229560,7000158,3.3,25.14952287,2013-02-01,0.21,-5.71
2013,M03,220115,6994619,3.1,24.98357032,2013-03-01,-0.08,-6.06
2013,M04,210891,7019059,3,25.08270209,2013-04-01,0.35,-3.23
2013,M05,223133,7052401,3.2,25.11292337,2013-05-01,0.48,6.67
2013,M06,245631,7078525,3.5,25.14812611,2013-06-01,0.37,9.38
2013,M07,239132,7091723,3.4,25.15560805,2013-07-01,0.19,-2.86
2013,M08,227525,7047008,3.2,25.26051608,2013-08-01,-0.63,-5.88
2013,M09,220617,7072623,3.1,25.66552606,2013-09-01,0.36,-3.13
2013,M10,214062,7041581,3,25.54721795,2013-10-01,-0.44,-3.23
2013,M11,203378,7083516,2.9,25.63327026,2013-11-01,0.60,-3.33
2013,M12,192150,7079980,2.7,25.83579791,2013-12-01,-0.05,-6.90
2014,M01,203367,7101230,2.9,25.99334592,2014-01-01,0.30,7.41
2014,M02,202756,7143373,2.8,26.28008209,2014-02-01,0.59,-3.45
2014,M03,197368,7167117,2.8,26.19790486,2014-03-01,0.33,0.00
2014,M04,169325,7139529,2.4,25.92769337,2014-04-01,-0.38,-14.29
2014,M05,183066,7167489,2.6,26.12713124,2014-05-01,0.39,8.33
2014,M06,195206,7185673,2.7,26.30528974,2014-06-01,0.25,3.85
2014,M07,204813,7228509,2.8,26.13126592,2014-07-01,0.60,3.70
2014,M08,196613,7194108,2.7,26.09851743,2014-08-01,-0.48,-3.57
2014,M09,179830,7208275,2.5,26.41565243,2014-09-01,0.20,-7.41
2014,M10,166745,7229640,2.3,27.02008594,2014-10-01,0.30,-8.00
2014,M11,165185,7233776,2.3,26.94842167,2014-11-01,0.06,0.00
2014,M12,152741,7206091,2.1,26.91371639,2014-12-01,-0.38,-8.70
2015,M01,171507,7211984,2.4,27.00475353,2015-01-01,0.08,14.29
2015,M02,163362,7208818,2.3,26.99156647,2015-02-01,-0.04,-4.17
2015,M03,160777,7194530,2.2,27.07721613,2015-03-01,-0.20,-4.35
2015,M04,153256,7199583,2.1,26.9294485,2015-04-01,0.07,-4.55
2015,M05,167290,7211848,2.3,27.04679504,2015-05-01,0.17,9.52
2015,M06,180255,7203594,2.5,26.88908991,2015-06-01,-0.11,8.70
2015,M07,188038,7217267,2.6,26.95879758,2015-07-01,0.19,4.00
2015,M08,181410,7183197,2.5,27.2968156,2015-08-01,-0.47,-3.85
2015,M09,178222,7177761,2.5,27.24301462,2015-09-01,-0.08,0.00
2015,M10,177007,7196175,2.5,27.19298445,2015-10-01,0.26,0.00
2015,M11,180227,7215845,2.5,27.31194097,2015-11-01,0.27,0.00
2015,M12,173630,7215523,2.4,27.10697393,2015-12-01,0.00,-4.00
2016,M01,182526,7224765,2.5,27.36501539,2016-01-01,0.13,4.17
2016,M02,180798,7255788,2.5,26.97138814,2016-02-01,0.43,0.00
2016,M03,188367,7268755,2.6,26.90894665,2016-03-01,0.18,4.00
2016,M04,183198,7257164,2.5,26.90879301,2016-04-01,-0.16,-3.85
2016,M05,184885,7240427,2.6,27.07030866,2016-05-01,-0.23,4.00
