period,year,nyc_u_rate,nyc_lbr_pool,nyc_wage
M04,2019,3.3,11731467,34.38882437596942
M03,2019,4.0,11821979,34.29292715530431
M02,2019,4.3,11798862,34.593414547221776
M01,2019,4.5,11771459,34.3928024170562
M12,2018,3.6,11786218,34.2597813418023
M11,2018,3.4,11774013,33.88523640812176
M10,2018,3.6,11794117,33.65496890835557
M09,2018,3.7,11715810,33.795058604801554
M08,2018,4.1,11786357,33.18578261784172
M07,2018,4.3,11962136,33.59077765943713
M06,2018,4.2,11890301,32.90927110199765
M05,2018,3.7,11754116,33.01389096135524
M04,2018,3.9,11723027,33.5432858443924
M03,2018,4.4,11763747,33.16184442518114
M02,2018,4.8,11773423,33.39601016664747
M01,2018,4.7,11665950,33.338554046876034
M12,2017,4.0,11674512,32.891300052919384
M11,2017,4.2,11711976,32.62050625372245
M10,2017,4.3,11749750,32.963424706474605
M09,2017,4.5,11790529,32.35284778755252
M08,2017,4.9,11855069,31.996531223760684
M07,2017,4.9,11980753,32.58704134812988
M06,2017,4.5,11898640,32.14394061086896
M05,2017,4.3,11791463,32.289382653061224
M04,2017,4.2,11778354,32.86200701649374
M03,2017,4.5,11808544,32.40592284430187
M02,2017,5.0,11787701,32.42688304712025
M01,2017,5.0,11729697,32.78908530197033
M12,2016,4.3,11705079,31.917978242348784
M11,2016,4.3,11725842,31.988635720397543
M10,2016,4.7,11774265,32.47911039230323
M09,2016,4.9,11757558,31.945088438561548
M08,2016,5.1,11848262,32.04016863463056
M07,2016,5.3,11950776,31.58583945031004
M06,2016,4.9,11867627,31.338308505124473
M05,2016,4.5,11758486,31.960473254148766
M04,2016,4.6,11750232,31.63479573232494
M03,2016,5.1,11824486,31.77317176638953
M02,2016,5.2,11796483,32.097172133257814
M01,2016,5.2,11740790,31.79619667776379
M12,2015,4.6,11745951,31.51466057681067
M11,2015,4.7,11735951,32.00352066891202
M10,2015,4.8,11739532,31.39120102631623
M09,2015,4.9,11662683,31.3020065761307
M08,2015,5.2,11806932,31.415069750682058
M07,2015,5.7,11925314,30.98100260238324
M06,2015,5.4,11868212,31.016407866434495
M05,2015,5.5,11820593,31.13082602351729
M04,2015,5.3,11738589,31.346980043654508
M03,2015,5.8,11746196,31.640343815000612
M02,2015,6.2,11751271,31.628271704887457
M01,2015,6.4,11740953,31.204231068510598
M12,2014,5.5,11682823,30.653741934379653
M11,2014,5.8,11719826,31.160345972542412
M10,2014,5.9,11739136,30.523659451108365
M09,2014,6.0,11652119,30.245735847067504
M08,2014,6.6,11778485,29.92507234117544
M07,2014,6.8,11887740,30.042104308629586
M06,2014,6.4,11790515,30.411086223844972
M05,2014,6.4,11689265,30.044107738757344
M04,2014,6.1,11601268,30.10284454028622
M03,2014,7.1,11698416,30.261293560128298
M02,2014,7.5,11663535,30.29665419542317
M01,2014,7.3,11617735,29.801593245093567
M12,2013,6.6,11672026,30.17054438225063
M11,2013,7.0,11716948,29.87573093614384
M10,2013,7.6,11726497,29.835364231305654
M09,2013,7.6,11746199,30.184474536408864
M08,2013,7.9,11863290,29.634131161843825
M07,2013,8.2,11983229,29.734563804683244
M06,2013,8.2,11927315,30.003791088517836
M05,2013,7.9,11790224,29.739728898673604
M04,2013,7.5,11707073,29.933702286582577
M03,2013,8.1,11704448,29.768754926450182
M02,2013,8.7,11735119,29.914865954745725
M01,2013,9.1,11760180,29.963102536204698
M12,2012,8.2,11745355,30.059577572128457
M11,2012,8.1,11731062,29.647205610385807
M10,2012,8.3,11796521,29.387306217550044
M09,2012,8.3,11714672,29.6602916751438
M08,2012,8.8,11782086,29.201440425690258
M07,2012,9.3,11900243,29.489144597161694
M06,2012,9.0,11867469,29.174274203956703
M05,2012,8.6,11749085,29.300668199347378
M04,2012,8.4,11659284,29.854561626905358
M03,2012,8.9,11707632,29.438241174809374
M02,2012,9.3,11699554,29.4418195111761
M01,2012,9.1,11634619,29.762127220235943
M12,2011,8.4,11672577,28.98144282482104
M11,2011,8.3,11675299,29.05805227954465
M10,2011,8.5,11688348,29.436644130185734
M09,2011,8.6,11639135,29.153670020956447
M08,2011,8.7,11720979,28.897176533313022
M07,2011,8.9,11761499,28.94493326751846
M06,2011,8.7,11690956,28.963193654990082
M05,2011,8.3,11606730,29.462369490109715
M04,2011,8.2,11577434,29.204180864256415
M03,2011,8.6,11593685,29.241544222676914
M02,2011,9.1,11575976,29.239888376796376
M01,2011,9.2,11555734,29.674890118484335
M12,2010,8.4,11568969,29.442197670360354
M11,2010,8.7,11599260,29.324695255634488
M10,2010,8.5,11603898,29.267648852263434
M09,2010,8.6,11605482,29.03549187301303
M08,2010,8.9,11732077,29.193050771034358
M07,2010,9.1,11794540,29.080498772218338
M06,2010,8.8,11723760,28.996133068209748
M05,2010,8.7,11652897,29.373809577237232
M04,2010,8.8,11679635,29.203944590732117
M03,2010,9.4,11611581,29.156344154514642
M02,2010,9.6,11583927,29.46255679083095
M01,2010,9.7,11561458,29.39069102791265
M12,2009,8.9,11530672,29.239606066004548
M11,2009,8.8,11584804,29.21948403278542
M10,2009,9.0,11591215,28.95104715578976
M09,2009,9.0,11571555,28.958208629660767
M08,2009,8.9,11734513,28.98367693893917
M07,2009,9.1,11843012,28.78602466209286
M06,2009,8.7,11761206,28.85680081026334
M05,2009,8.3,11626478,28.791338380424495
M04,2009,7.9,11613740,28.90892163293
M03,2009,8.2,11612775,29.209395567191805
M02,2009,8.1,11623612,29.074297345452088
M01,2009,7.6,11590198,28.938554276575136
M12,2008,6.3,11637919,28.834339647119876
M11,2008,5.8,11639470,28.872613889670397
M10,2008,5.6,11659148,28.754644274345686
M09,2008,5.5,11590454,29.00454844686648
M08,2008,5.6,11699357,28.973310862570855
M07,2008,5.5,11774491,28.930867790245813
M06,2008,5.1,11671349,28.886306964281857
M05,2008,4.9,11543928,28.854518740369386
M04,2008,4.4,11508186,28.86379277318241
M03,2008,4.9,11526559,29.205182860142614
M02,2008,5.1,11497898,29.107595595991565
M01,2008,5.2,11515514,29.185914037837488
M12,2007,4.4,11502943,27.997703930075016
M11,2007,4.2,11506230,27.247387369959593
M10,2007,4.3,11451352,27.188923880532315
M09,2007,4.4,11406632,27.356028100987924
M08,2007,4.5,11475871,27.22201678815993
M07,2007,4.9,11610239,27.512292616326437
M06,2007,4.4,11508241,27.1629353656941
M05,2007,4.1,11346211,27.00357918094736
M04,2007,4.0,11320972,27.50756666445374
M03,2007,4.2,11370059,27.206743019487725
M02,2007,4.6,11362757,27.593175181665735
M01,2007,4.7,11367991,27.68441790977714
M12,2006,3.8,11419986,
M11,2006,4.0,11407004,
M10,2006,3.9,11381322,
M09,2006,4.3,11304477,
M08,2006,4.5,11446079,
M07,2006,5.0,11538348,
M06,2006,4.6,11448319,
M05,2006,4.5,11313850,
M04,2006,4.6,11297640,
M03,2006,4.8,11316232,
M02,2006,5.2,11305158,
M01,2006,5.0,11261180,
M12,2005,4.6,11316831,
M11,2005,5.0,11333982,
M10,2005,4.7,11327382,
M09,2005,4.9,11266564,
M08,2005,4.6,11361299,
M07,2005,5.0,11435948,
M06,2005,4.7,11316472,
M05,2005,4.6,11197266,
M04,2005,4.6,11169051,
M03,2005,4.9,11140668,
M02,2005,5.4,11149998,
M01,2005,5.3,11110682,
M12,2004,4.7,11168812,
M11,2004,4.8,11170865,
M10,2004,4.9,11156377,
M09,2004,5.1,11071177,
M08,2004,5.2,11219527,
M07,2004,5.8,11326615,
M06,2004,5.7,11212130,
M05,2004,5.4,11048080,
M04,2004,5.5,11046927,
M03,2004,6.3,11077488,
M02,2004,6.4,11038381,
M01,2004,6.6,11040232,
M12,2003,5.7,11032250,
M11,2003,6.0,11065283,
M10,2003,6.1,11049767,
M09,2003,6.3,10969326,
M08,2003,6.3,11080952,
M07,2003,6.6,11169963,
M06,2003,6.6,11149447,
M05,2003,6.1,11008552,
M04,2003,6.1,11030616,
M03,2003,6.5,11051083,
M02,2003,6.8,11072121,
M01,2003,6.9,11061627,
M12,2002,6.2,11080303,
M11,2002,6.2,11067830,
M10,2002,5.9,11092699,
M09,2002,5.8,11040116,
M08,2002,5.9,11126777,
M07,2002,6.3,11187578,
