date,employment,pct_chg_employment
1939-01-01,29923,
1939-02-01,30100,
1939-03-01,30280,
1939-04-01,30094,
1939-05-01,30299,
1939-06-01,30502,
1939-07-01,30419,
1939-08-01,30663,
1939-09-01,31031,
1939-10-01,31411,
1939-11-01,31470,
1939-12-01,31542,
1940-01-01,31603,5.61
1940-02-01,31715,5.37
1940-03-01,31825,5.10
1940-04-01,31701,5.34
1940-05-01,31879,5.21
1940-06-01,31977,4.84
1940-07-01,31942,5.01
1940-08-01,32352,5.51
1940-09-01,32810,5.73
1940-10-01,33267,5.91
1940-11-01,33669,6.99
1940-12-01,34174,8.34
1941-01-01,34481,9.11
1941-02-01,34843,9.86
1941-03-01,35092,10.27
1941-04-01,35468,11.88
1941-05-01,36182,13.50
1941-06-01,36650,14.61
1941-07-01,37137,16.26
1941-08-01,37544,16.05
1941-09-01,37835,15.32
1941-10-01,37949,14.07
1941-11-01,38024,12.93
1941-12-01,38104,11.50
1942-01-01,38347,11.21
1942-02-01,38512,10.53
1942-03-01,38935,10.95
1942-04-01,39352,10.95
1942-05-01,39771,9.92
1942-06-01,40029,9.22
1942-07-01,40472,8.98
1942-08-01,40988,9.17
1942-09-01,41259,9.05
1942-10-01,41515,9.40
1942-11-01,41674,9.60
1942-12-01,41915,10.00
1943-01-01,42172,9.97
1943-02-01,42393,10.08
1943-03-01,42552,9.29
1943-04-01,42647,8.37
1943-05-01,42596,7.10
1943-06-01,42781,6.88
1943-07-01,42700,5.51
1943-08-01,42546,3.80
1943-09-01,42492,2.99
1943-10-01,42675,2.79
1943-11-01,42821,2.75
1943-12-01,42746,1.98
1944-01-01,42654,1.14
1944-02-01,42538,0.34
1944-03-01,42294,-0.61
1944-04-01,42063,-1.37
1944-05-01,41985,-1.43
1944-06-01,41947,-1.95
1944-07-01,41904,-1.86
1944-08-01,41850,-1.64
1944-09-01,41679,-1.91
1944-10-01,41708,-2.27
1944-11-01,41711,-2.59
1944-12-01,41860,-2.07
1945-01-01,41895,-1.78
1945-02-01,41897,-1.51
1945-03-01,41798,-1.17
1945-04-01,41446,-1.47
1945-05-01,41304,-1.62
1945-06-01,41149,-1.90
1945-07-01,40874,-2.46
1945-08-01,40466,-3.31
1945-09-01,38507,-7.61
1945-10-01,38600,-7.45
1945-11-01,38996,-6.51
1945-12-01,39110,-6.57
1946-01-01,39829,-4.93
1946-02-01,39244,-6.33
1946-03-01,40195,-3.84
1946-04-01,40913,-1.29
1946-05-01,41349,0.11
1946-06-01,41735,1.42
1946-07-01,42153,3.13
1946-08-01,42642,5.38
1946-09-01,42915,11.45
1946-10-01,43093,11.64
1946-11-01,43395,11.28
1946-12-01,43379,10.92
1947-01-01,43535,9.30
1947-02-01,43557,10.99
1947-03-01,43607,8.49
1947-04-01,43499,6.32
1947-05-01,43638,5.54
1947-06-01,43810,4.97
1947-07-01,43743,3.77
1947-08-01,43960,3.09
1947-09-01,44203,3.00
1947-10-01,44411,3.06
1947-11-01,44484,2.51
1947-12-01,44581,2.77
1948-01-01,44679,2.63
1948-02-01,44533,2.24
1948-03-01,44683,2.47
1948-04-01,44379,2.02
1948-05-01,44796,2.65
1948-06-01,45034,2.79
1948-07-01,45160,3.24
1948-08-01,45178,2.77
1948-09-01,45294,2.47
1948-10-01,45245,1.88
1948-11-01,45192,1.59
1948-12-01,45032,1.01
1949-01-01,44668,-0.02
1949-02-01,44497,-0.08
1949-03-01,44240,-0.99
1949-04-01,44236,-0.32
1949-05-01,43984,-1.81
1949-06-01,43739,-2.88
1949-07-01,43531,-3.61
1949-08-01,43624,-3.44
1949-09-01,43780,-3.34
1949-10-01,42942,-5.09
1949-11-01,43242,-4.31
1949-12-01,43522,-3.35
1950-01-01,43526,-2.56
1950-02-01,43297,-2.70
1950-03-01,43954,-0.65
1950-04-01,44382,0.33
1950-05-01,44718,1.67
1950-06-01,45083,3.07
1950-07-01,45454,4.42
1950-08-01,46192,5.89
1950-09-01,46438,6.07
1950-10-01,46706,8.77
1950-11-01,46776,8.17
1950-12-01,46861,7.67
1951-01-01,47288,8.64
1951-02-01,47577,9.89
1951-03-01,47873,8.92
1951-04-01,47861,7.84
1951-05-01,47952,7.23
1951-06-01,48064,6.61
1951-07-01,48061,5.74
1951-08-01,48012,3.94
1951-09-01,47954,3.26
1951-10-01,48006,2.78
1951-11-01,48147,2.93
1951-12-01,48314,3.10
1952-01-01,48296,2.13
1952-02-01,48522,1.99
1952-03-01,48504,1.32
1952-04-01,48620,1.59
1952-05-01,48642,1.44
1952-06-01,48282,0.45
1952-07-01,48143,0.17
1952-08-01,48924,1.90
1952-09-01,49320,2.85
1952-10-01,49597,3.31
1952-11-01,49816,3.47
1952-12-01,50166,3.83
1953-01-01,50144,3.83
1953-02-01,50339,3.74
1953-03-01,50473,4.06
1953-04-01,50435,3.73
1953-05-01,50490,3.80
1953-06-01,50519,4.63
1953-07-01,50536,4.97
1953-08-01,50489,3.20
1953-09-01,50368,2.12
1953-10-01,50240,1.30
1953-11-01,49908,0.18
1953-12-01,49703,-0.92
1954-01-01,49469,-1.35
1954-02-01,49382,-1.90
1954-03-01,49157,-2.61
1954-04-01,49179,-2.49
1954-05-01,48965,-3.02
1954-06-01,48895,-3.21
1954-07-01,48835,-3.37
1954-08-01,48826,-3.29
1954-09-01,48886,-2.94
1954-10-01,48942,-2.58
1954-11-01,49180,-1.46
1954-12-01,49331,-0.75
1955-01-01,49496,0.05
1955-02-01,49644,0.53
1955-03-01,49962,1.64
1955-04-01,50248,2.17
1955-05-01,50512,3.16
1955-06-01,50790,3.88
1955-07-01,50987,4.41
1955-08-01,51111,4.68
1955-09-01,51266,4.87
1955-10-01,51429,5.08
1955-11-01,51592,4.90
1955-12-01,51805,5.02
1956-01-01,51975,5.01
1956-02-01,52167,5.08
1956-03-01,52294,4.67
1956-04-01,52375,4.23
1956-05-01,52506,3.95
1956-06-01,52586,3.54
1956-07-01,51955,1.90
1956-08-01,52631,2.97
1956-09-01,52604,2.61
1956-10-01,52777,2.62
1956-11-01,52821,2.38
1956-12-01,52929,2.17
1957-01-01,52887,1.75
1957-02-01,53097,1.78
1957-03-01,53156,1.65
1957-04-01,53238,1.65
1957-05-01,53150,1.23
1957-06-01,53067,0.91
1957-07-01,53123,2.25
1957-08-01,53128,0.94
1957-09-01,52934,0.63
1957-10-01,52763,-0.03
1957-11-01,52558,-0.50
1957-12-01,52384,-1.03
1958-01-01,52076,-1.53
1958-02-01,51576,-2.86
1958-03-01,51299,-3.49
1958-04-01,51027,-4.15
1958-05-01,50914,-4.21
1958-06-01,50914,-4.06
1958-07-01,51039,-3.92
1958-08-01,51233,-3.57
1958-09-01,51506,-2.70
1958-10-01,51485,-2.42
1958-11-01,51944,-1.17
1958-12-01,52085,-0.57
1959-01-01,52478,0.77
1959-02-01,52688,2.16
1959-03-01,53014,3.34
1959-04-01,53321,4.50
1959-05-01,53550,5.18
1959-06-01,53681,5.43
1959-07-01,53804,5.42
1959-08-01,53336,4.10
1959-09-01,53428,3.73
1959-10-01,53358,3.64
1959-11-01,53634,3.25
1959-12-01,54174,4.01
1960-01-01,54274,3.42
1960-02-01,54513,3.46
1960-03-01,54454,2.72
1960-04-01,54813,2.80
1960-05-01,54475,1.73
1960-06-01,54348,1.24
1960-07-01,54306,0.93
1960-08-01,54272,1.75
1960-09-01,54227,1.50
1960-10-01,54142,1.47
1960-11-01,53961,0.61
1960-12-01,53742,-0.80
1961-01-01,53683,-1.09
1961-02-01,53557,-1.75
1961-03-01,53659,-1.46
1961-04-01,53627,-2.16
1961-05-01,53786,-1.26
1961-06-01,53977,-0.68
1961-07-01,54123,-0.34
1961-08-01,54298,0.05
1961-09-01,54388,0.30
1961-10-01,54522,0.70
1961-11-01,54742,1.45
1961-12-01,54872,2.10
1962-01-01,54891,2.25
1962-02-01,55188,3.05
1962-03-01,55275,3.01
1962-04-01,55602,3.68
1962-05-01,55628,3.42
1962-06-01,55644,3.09
1962-07-01,55746,3.00
1962-08-01,55838,2.84
1962-09-01,55978,2.92
1962-10-01,56041,2.79
1962-11-01,56056,2.40
1962-12-01,56028,2.11
1963-01-01,56115,2.23
1963-02-01,56230,1.89
1963-03-01,56320,1.89
1963-04-01,56580,1.76
1963-05-01,56616,1.78
1963-06-01,56659,1.82
1963-07-01,56794,1.88
1963-08-01,56910,1.92
1963-09-01,57078,1.97
1963-10-01,57283,2.22
1963-11-01,57255,2.14
1963-12-01,57361,2.38
1964-01-01,57487,2.44
1964-02-01,57753,2.71
1964-03-01,57897,2.80
1964-04-01,57922,2.37
1964-05-01,58089,2.60
1964-06-01,58219,2.75
1964-07-01,58412,2.85
1964-08-01,58619,3.00
1964-09-01,58903,3.20
1964-10-01,58793,2.64
1964-11-01,59218,3.43
1964-12-01,59421,3.59
1965-01-01,59582,3.64
1965-02-01,59800,3.54
1965-03-01,60003,3.64
1965-04-01,60259,4.03
1965-05-01,60491,4.14
1965-06-01,60690,4.24
1965-07-01,60965,4.37
1965-08-01,61228,4.45
1965-09-01,61490,4.39
1965-10-01,61719,4.98
1965-11-01,61996,4.69
1965-12-01,62322,4.88
1966-01-01,62529,4.95
1966-02-01,62796,5.01
1966-03-01,63192,5.31
1966-04-01,63437,5.27
1966-05-01,63712,5.32
1966-06-01,64111,5.64
1966-07-01,64301,5.47
1966-08-01,64507,5.36
1966-09-01,64643,5.13
1966-10-01,64854,5.08
1966-11-01,65019,4.88
1966-12-01,65199,4.62
1967-01-01,65407,4.60
1967-02-01,65429,4.19
1967-03-01,65530,3.70
1967-04-01,65466,3.20
1967-05-01,65620,2.99
1967-06-01,65750,2.56
1967-07-01,65888,2.47
1967-08-01,66143,2.54
1967-09-01,66164,2.35
1967-10-01,66225,2.11
1967-11-01,66703,2.59
1967-12-01,66900,2.61
1968-01-01,66804,2.14
1968-02-01,67215,2.73
1968-03-01,67295,2.69
1968-04-01,67556,3.19
1968-05-01,67652,3.10
1968-06-01,67905,3.28
1968-07-01,68126,3.40
1968-08-01,68330,3.31
1968-09-01,68484,3.51
1968-10-01,68721,3.77
1968-11-01,68984,3.42
1968-12-01,69248,3.51
1969-01-01,69439,3.94
1969-02-01,69699,3.70
1969-03-01,69905,3.88
1969-04-01,70072,3.72
1969-05-01,70328,3.96
1969-06-01,70636,4.02
1969-07-01,70729,3.82
1969-08-01,71008,3.92
1969-09-01,70914,3.55
1969-10-01,71121,3.49
1969-11-01,71086,3.05
1969-12-01,71241,2.88
1970-01-01,71176,2.50
1970-02-01,71305,2.30
1970-03-01,71451,2.21
1970-04-01,71348,1.82
1970-05-01,71124,1.13
1970-06-01,71029,0.56
1970-07-01,71053,0.46
1970-08-01,70937,-0.10
1970-09-01,70944,0.04
1970-10-01,70521,-0.84
1970-11-01,70409,-0.95
1970-12-01,70792,-0.63
1971-01-01,70865,-0.44
1971-02-01,70807,-0.70
1971-03-01,70860,-0.83
1971-04-01,71036,-0.44
1971-05-01,71247,0.17
1971-06-01,71254,0.32
1971-07-01,71315,0.37
1971-08-01,71373,0.61
