date,st_interest,it_interest,lt_interest,cpi_index,pct_chg_cpi,oil_price,pct_chg_oil_price,mtg_purchase,mtg_refi,pct_chg_mtg_purchase,pct_cht_mtg_refi,employment,pct_chg_employment,avg_earnings,pct_chg_avg_earnings
1990-01-01,7.9,8.09,8.21,127.5,5.2,22.86,26.86,31.0,7.0,,,109197,1.9,10.02,3.83
1990-02-01,8.0,8.37,8.47,128.0,5.26,22.11,23.24,31.0,7.0,,,109435,1.87,10.07,4.03
1990-03-01,8.17,8.63,8.59,128.6,5.24,20.39,4.67,31.0,7.0,,,109644,1.88,10.11,4.23
1990-04-01,8.04,8.72,8.79,128.9,4.71,18.43,-12.53,36.0,5.0,,,109688,1.76,10.12,3.79
1990-05-01,8.01,8.64,8.76,129.1,4.37,18.2,-9.54,36.0,5.0,,,109839,1.78,10.16,4.31
1990-06-01,7.99,8.35,8.48,129.9,4.67,16.7,-16.71,36.0,5.0,,,109857,1.69,10.2,4.4
1990-07-01,7.87,8.16,8.47,130.5,4.82,18.45,-6.72,35.0,5.0,,,109824,1.62,10.22,3.97
1990-08-01,7.69,8.06,8.75,131.6,5.7,27.31,46.99,35.0,5.0,,,109617,1.38,10.24,4.17
1990-09-01,7.6,8.08,8.89,132.5,6.17,33.51,71.06,35.0,5.0,,,109520,1.06,10.28,4.15
1990-10-01,7.4,7.88,8.72,133.4,6.38,36.04,79.3,28.0,5.0,,,109367,0.82,10.3,3.83
1990-11-01,7.29,7.6,8.39,133.7,6.2,32.33,62.79,28.0,5.0,,,109213,0.42,10.32,3.93
1990-12-01,6.95,7.31,8.08,134.2,6.25,27.28,29.29,28.0,5.0,,,109167,0.3,10.34,3.61
1991-01-01,6.41,7.13,8.09,134.7,5.65,25.23,10.37,25.0,11.0,-21.28,45.45,109056,-0.13,10.38,3.59
1991-02-01,6.12,6.87,7.85,134.8,5.31,20.48,-7.37,25.0,11.0,-21.28,45.45,108735,-0.64,10.39,3.18
1991-03-01,6.09,7.1,8.11,134.8,4.82,19.9,-2.4,25.0,11.0,-21.28,45.45,108576,-0.97,10.41,2.97
1991-04-01,5.83,6.95,8.04,135.1,4.81,20.83,13.02,33.0,12.0,-6.54,118.75,108367,-1.2,10.46,3.36
1991-05-01,5.63,6.78,8.07,135.6,5.03,21.23,16.65,33.0,12.0,-6.54,118.75,108251,-1.45,10.49,3.25
1991-06-01,5.75,6.96,8.28,136.0,4.7,20.19,20.9,33.0,12.0,-6.54,118.75,108337,-1.38,10.51,3.04
1991-07-01,5.75,6.92,8.27,136.2,4.37,21.4,15.99,40.0,11.0,15.38,100.0,108292,-1.39,10.54,3.13
1991-08-01,5.5,6.43,7.9,136.6,3.8,21.69,-20.58,40.0,11.0,15.38,100.0,108313,-1.19,10.56,3.13
1991-09-01,5.37,6.18,7.65,137.0,3.4,21.89,-34.68,40.0,11.0,15.38,100.0,108338,-1.08,10.58,2.92
1991-10-01,5.14,5.91,7.53,137.2,2.85,23.23,-35.54,30.0,26.0,8.33,387.5,108357,-0.92,10.59,2.82
1991-11-01,4.69,5.56,7.42,137.8,3.07,22.46,-30.53,30.0,26.0,8.33,387.5,108297,-0.84,10.61,2.81
1991-12-01,4.18,5.03,7.09,138.2,2.98,19.5,-28.52,30.0,26.0,8.33,387.5,108330,-0.77,10.64,2.9
1992-01-01,3.91,4.96,7.03,138.3,2.67,18.79,-25.53,31.0,44.0,24.32,315.63,108372,-0.63,10.65,2.6
1992-02-01,3.95,5.21,7.34,138.6,2.82,19.01,-7.18,31.0,44.0,24.32,315.63,108313,-0.39,10.67,2.69
1992-03-01,4.14,5.69,7.54,139.1,3.19,18.92,-4.92,31.0,44.0,24.32,315.63,108368,-0.19,10.69,2.69
1992-04-01,3.84,5.34,7.48,139.4,3.18,20.23,-2.88,48.0,24.0,44.0,102.86,108523,0.14,10.72,2.49
1992-05-01,3.72,5.23,7.39,139.7,3.02,20.98,-1.18,48.0,24.0,44.0,102.86,108652,0.37,10.74,2.38
1992-06-01,3.75,5.05,7.26,140.1,3.01,22.39,10.9,48.0,24.0,44.0,102.86,108719,0.35,10.77,2.47
1992-07-01,3.28,4.36,6.84,140.5,3.16,21.78,1.78,39.0,34.0,-2.5,221.88,108794,0.46,10.79,2.37
1992-08-01,3.2,4.19,6.59,140.8,3.07,21.34,-1.61,39.0,34.0,-2.5,221.88,108929,0.57,10.82,2.46
1992-09-01,2.97,3.89,6.42,141.1,2.99,21.88,-0.05,39.0,34.0,-2.5,221.88,108963,0.58,10.83,2.36
1992-10-01,2.93,4.08,6.59,141.7,3.28,21.69,-6.63,40.0,38.0,30.77,46.15,109144,0.73,10.85,2.46
1992-11-01,3.21,4.58,6.87,142.1,3.12,20.34,-9.44,40.0,38.0,30.77,46.15,109277,0.9,10.87,2.45
1992-12-01,3.29,4.67,6.77,142.3,2.97,19.41,-0.46,40.0,38.0,30.77,46.15,109499,1.08,10.89,2.35
1993-01-01,3.07,4.39,6.6,142.8,3.25,19.03,1.28,37.0,27.0,19.57,-39.85,109799,1.32,10.93,2.63
1993-02-01,2.99,4.1,6.26,143.1,3.25,20.09,5.68,37.0,27.0,19.57,-39.85,110047,1.6,10.95,2.62
1993-03-01,3.01,3.95,5.98,143.3,3.02,20.32,7.4,37.0,27.0,19.57,-39.85,109999,1.51,10.99,2.81
1993-04-01,2.93,3.84,5.97,143.8,3.16,20.25,0.1,39.0,44.0,-18.75,85.92,110302,1.64,10.99,2.52
1993-05-01,3.03,3.98,6.04,144.2,3.22,19.95,-4.91,39.0,44.0,-18.75,85.92,110573,1.77,11.01,2.51
1993-06-01,3.14,4.16,5.96,144.3,3.0,19.09,-14.74,39.0,44.0,-18.75,85.92,110752,1.87,11.03,2.41
1993-07-01,3.11,4.07,5.81,144.5,2.85,17.89,-17.86,47.0,49.0,21.37,43.69,111057,2.08,11.05,2.41
1993-08-01,3.09,4.0,5.68,144.8,2.84,18.01,-15.6,47.0,49.0,21.37,43.69,111211,2.09,11.07,2.31
1993-09-01,3.01,3.85,5.36,145.0,2.76,17.5,-20.02,47.0,49.0,21.37,43.69,111452,2.28,11.1,2.49
1993-10-01,3.09,3.87,5.33,145.6,2.75,18.15,-16.32,39.0,58.0,-1.68,53.51,111737,2.38,11.13,2.58
1993-11-01,3.18,4.16,5.72,146.0,2.74,16.61,-18.34,39.0,58.0,-1.68,53.51,111990,2.48,11.15,2.58
1993-12-01,3.13,4.21,5.77,146.3,2.81,14.52,-25.19,39.0,58.0,-1.68,53.51,112319,2.58,11.18,2.66
1994-01-01,3.04,4.14,5.75,146.3,2.45,15.03,-21.02,45.0,42.0,23.64,57.5,112601,2.55,11.2,2.47
1994-02-01,3.33,4.47,5.97,146.7,2.52,14.78,-26.43,45.0,42.0,23.64,57.5,112785,2.49,11.25,2.74
1994-03-01,3.59,5.0,6.48,147.1,2.65,14.68,-27.76,45.0,42.0,23.64,57.5,113248,2.95,11.25,2.37
1994-04-01,3.78,5.55,6.97,147.2,2.36,16.42,-18.91,55.0,16.0,41.03,-62.88,113592,2.98,11.27,2.55
1994-05-01,4.27,5.97,7.18,147.5,2.29,17.89,-10.33,55.0,16.0,41.03,-62.88,113928,3.03,11.29,2.54
1994-06-01,4.25,5.93,7.1,147.9,2.49,19.06,-0.16,55.0,16.0,41.03,-62.88,114242,3.15,11.31,2.54
1994-07-01,4.46,6.13,7.3,148.4,2.7,19.66,9.89,46.0,7.0,-3.52,-86.49,114613,3.2,11.35,2.71
1994-08-01,4.61,6.18,7.24,149.0,2.9,18.38,2.05,46.0,7.0,-3.52,-86.49,114902,3.32,11.36,2.62
1994-09-01,4.75,6.39,7.46,149.3,2.97,17.45,-0.29,46.0,7.0,-3.52,-86.49,115251,3.41,11.39,2.61
1994-10-01,5.1,6.73,7.74,149.4,2.61,17.72,-2.37,40.0,5.0,1.71,-90.86,115464,3.34,11.43,2.7
1994-11-01,5.45,7.15,7.96,149.8,2.6,18.07,8.79,40.0,5.0,1.71,-90.86,115876,3.47,11.45,2.69
1994-12-01,5.76,7.59,7.81,150.1,2.6,17.16,18.18,40.0,5.0,1.71,-90.86,116171,3.43,11.48,2.68
1995-01-01,5.9,7.51,7.78,150.5,2.87,18.04,20.03,35.0,4.0,-22.06,-89.68,116508,3.47,11.48,2.5
1995-02-01,5.94,7.11,7.47,150.9,2.86,18.57,25.64,35.0,4.0,-22.06,-89.68,116702,3.47,11.53,2.49
1995-03-01,5.91,6.78,7.2,151.2,2.79,18.54,26.29,35.0,4.0,-22.06,-89.68,116913,3.24,11.55,2.67
1995-04-01,5.84,6.57,7.06,151.8,3.13,19.9,21.19,41.0,6.0,-26.06,-63.27,117076,3.07,11.56,2.57
1995-05-01,5.85,6.17,6.63,152.1,3.12,19.74,10.34,41.0,6.0,-26.06,-63.27,117056,2.75,11.6,2.75
1995-06-01,5.64,5.72,6.17,152.4,3.04,18.45,-3.2,41.0,6.0,-26.06,-63.27,117293,2.67,11.63,2.83
1995-07-01,5.59,5.78,6.28,152.6,2.83,17.33,-11.85,46.0,17.0,1.46,155.0,117386,2.42,11.67,2.82
1995-08-01,5.57,5.98,6.49,152.9,2.62,18.02,-1.96,46.0,17.0,1.46,155.0,117642,2.38,11.69,2.9
1995-09-01,5.43,5.81,6.2,153.1,2.55,18.23,4.47,46.0,17.0,1.46,155.0,117881,2.28,11.73,2.99
1995-10-01,5.44,5.7,6.04,153.5,2.74,17.43,-1.64,42.0,21.0,6.72,293.75,118038,2.23,11.75,2.8
1995-11-01,5.52,5.48,5.93,153.7,2.6,17.99,-0.44,42.0,21.0,6.72,293.75,118182,1.99,11.78,2.88
1995-12-01,5.29,5.32,5.71,153.9,2.53,19.03,10.9,42.0,21.0,6.72,293.75,118328,1.86,11.81,2.87
1996-01-01,5.15,5.11,5.65,154.7,2.79,18.86,4.55,34.0,31.0,-4.72,615.38,118323,1.56,11.86,3.31
1996-02-01,4.96,5.03,5.81,155.0,2.72,19.09,2.8,34.0,31.0,-4.72,615.38,118744,1.75,11.87,2.95
1996-03-01,5.1,5.66,6.27,155.5,2.84,21.33,15.05,34.0,31.0,-4.72,615.38,119001,1.79,11.89,2.94
1996-04-01,5.09,5.96,6.51,156.1,2.83,23.5,18.09,52.0,18.0,27.05,200.0,119168,1.79,11.96,3.46
1996-05-01,5.15,6.1,6.74,156.4,2.83,21.17,7.24,52.0,18.0,27.05,200.0,119496,2.08,11.98,3.28
1996-06-01,5.23,6.3,6.91,156.7,2.82,20.42,10.68,52.0,18.0,27.05,200.0,119778,2.12,12.03,3.44
1996-07-01,5.3,6.27,6.87,157.0,2.88,21.3,22.91,53.0,11.0,13.67,-37.25,120020,2.24,12.06,3.34
1996-08-01,5.19,6.03,6.64,157.2,2.81,21.9,21.53,53.0,11.0,13.67,-37.25,120207,2.18,12.09,3.42
1996-09-01,5.24,6.23,6.83,157.7,3.0,23.97,31.49,53.0,11.0,13.67,-37.25,120418,2.15,12.13,3.41
1996-10-01,5.12,5.91,6.53,158.2,3.06,24.88,42.74,48.0,15.0,14.17,-26.98,120674,2.23,12.16,3.49
1996-11-01,5.17,5.7,6.2,158.7,3.25,23.71,31.8,48.0,15.0,14.17,-26.98,120969,2.36,12.2,3.57
1996-12-01,5.04,5.78,6.3,159.1,3.38,25.23,32.58,48.0,15.0,14.17,-26.98,121152,2.39,12.24,3.64
1997-01-01,5.17,6.01,6.58,159.4,3.04,25.13,33.24,41.0,17.0,21.78,-46.24,121372,2.58,12.29,3.63
1997-02-01,5.14,5.9,6.42,159.7,3.03,22.18,16.19,41.0,17.0,21.78,-46.24,121682,2.47,12.32,3.79
1997-03-01,5.28,6.22,6.69,159.8,2.77,20.97,-1.69,41.0,17.0,21.78,-46.24,121999,2.52,12.36,3.95
1997-04-01,5.3,6.45,6.89,159.9,2.43,19.7,-16.17,52.0,14.0,0.0,-24.07,122296,2.62,12.39,3.6
1997-05-01,5.2,6.28,6.71,159.9,2.24,20.82,-1.65,52.0,14.0,0.0,-24.07,122557,2.56,12.44,3.84
1997-06-01,5.07,6.09,6.49,160.2,2.23,19.26,-5.68,52.0,14.0,0.0,-24.07,122825,2.54,12.46,3.57
1997-07-01,5.19,5.89,6.22,160.4,2.17,19.66,-7.7,54.0,20.0,2.53,87.5,123119,2.58,12.5,3.65
1997-08-01,5.28,5.94,6.3,160.8,2.29,19.95,-8.9,54.0,20.0,2.53,87.5,123099,2.41,12.57,3.97
1997-09-01,5.08,5.88,6.21,161.2,2.22,19.8,-17.4,54.0,20.0,2.53,87.5,123594,2.64,12.6,3.87
1997-10-01,5.11,5.77,6.03,161.5,2.09,21.33,-14.27,50.0,31.0,3.45,100.0,123940,2.71,12.67,4.19
