date,st_interest,it_interest,lt_interest,cpi_index,pct_chg_cpi,oil_price,pct_chg_oil_price,mtg_purchase,mtg_refi,pct_chg_mtg_purchase,pct_cht_mtg_refi,employment,pct_chg_employment,avg_earnings,pct_chg_avg_earnings,nyc_lbr_pool,nyc_wage,pct_chg_nyc_lbr_pool,pct_chg_nyc_wage,tx_lbr_pool,tx_wage,pct_chg_tx_lbr_pool,pct_chg_tx_wage
2007-02-01,5.16,4.85,4.72,204.226,2.42,59.28,-3.81,88.0,103.0,-13.44,1.31,137573,1.34,17.15,4.07,11362757,27.59317518,-0.05,-0.33,5974468,22.28686769,-0.2,-4.17
2007-03-01,5.08,4.57,4.56,205.28799999999998,2.8,60.44,-3.59,88.0,103.0,-13.44,1.31,137810,1.28,17.22,4.11,11370059,27.20674302,0.06,-1.4,5986862,22.71955024,0.21,-8.7
2007-04-01,5.01,4.67,4.69,205.90400000000002,2.59,63.98,-7.86,115.0,110.0,-15.69,3.12,137860,1.2,17.27,3.79,11320972,27.50756666,-0.43,1.11,5977430,23.17565556,-0.16,-4.76
2007-05-01,4.87,4.77,4.75,206.755,2.71,63.46,-10.42,115.0,110.0,-15.69,3.12,138012,1.29,17.34,4.14,11346211,27.00357918,0.22,-1.83,5987626,23.059917000000002,0.17,0.0
2007-06-01,4.74,4.98,5.1,207.234,2.69,67.49,-4.88,115.0,110.0,-15.69,3.12,138088,1.28,17.42,4.19,11508241,27.16293537,1.43,0.59,6062070,22.67370604,1.24,15.0
2007-07-01,4.96,4.82,5.0,207.60299999999998,2.32,74.12,-0.39,102.0,90.0,-18.62,-15.58,138055,1.11,17.46,4.05,11610239,27.51229262,0.89,1.29,6093356,23.19286275,0.52,0.0
2007-08-01,4.32,4.31,4.67,207.667,1.9,72.36,-0.93,102.0,90.0,-18.62,-15.58,138032,0.96,17.5,3.98,11475871,27.22201679,-1.16,-1.06,6040237,23.16864375,-0.87,-4.35
2007-09-01,3.99,4.01,4.52,208.547,2.83,79.92,25.27,102.0,90.0,-18.62,-15.58,138114,0.92,17.56,4.09,11406632,27.356028100000003,-0.6,0.49,6072805,23.32999439,0.54,0.0
2007-10-01,4.0,3.97,4.53,209.19,3.61,85.8,45.7,75.0,85.0,-27.1,-32.72,138190,0.96,17.58,3.78,11451352,27.18892388,0.39,-0.61,6077897,23.06434729,0.08,-4.55
2007-11-01,3.35,3.34,4.15,210.834,4.37,94.77,60.41,75.0,85.0,-27.1,-32.72,138299,0.89,17.63,3.83,11506230,27.24738737,0.48,0.22,6114246,23.32221851,0.6,0.0
2007-12-01,3.07,3.12,4.1,211.445,4.11,91.69,47.98,75.0,85.0,-27.1,-32.72,138409,0.83,17.69,3.81,11502943,27.99770393,-0.03,2.75,6106107,23.67348538,-0.13,0.0
2008-01-01,2.82,2.48,3.74,212.174,4.29,92.97,70.56,56.0,99.0,-36.66,-3.79,138422,0.68,17.74,3.8,11515514,29.18591404,0.11,4.24,6095879,23.36854739,-0.17,9.52
2008-02-01,2.17,1.97,3.74,212.687,4.14,95.39,60.91,56.0,99.0,-36.66,-3.79,138340,0.56,17.8,3.79,11497898,29.1075956,-0.15,-0.27,6080708,23.63146372,-0.25,-4.35
2008-03-01,1.28,1.62,3.51,213.44799999999998,3.97,105.45,74.47,56.0,99.0,-36.66,-3.79,138292,0.35,17.88,3.83,11526559,29.20518286,0.25,0.34,6110301,23.64148138,0.49,-4.55
2008-04-01,1.31,2.05,3.68,213.942,3.9,112.58,75.96,58.0,68.0,-49.47,-38.36,138056,0.14,17.92,3.76,11508186,28.86379277,-0.16,-1.17,6136740,23.62233373,0.43,-4.76
2008-05-01,1.76,2.45,3.88,215.208,4.09,125.4,97.6,58.0,68.0,-49.47,-38.36,137872,-0.1,17.98,3.69,11543928,28.85451874,0.31,-0.03,6152258,23.19310467,0.25,10.0
2008-06-01,1.89,2.77,4.1,217.463,4.94,133.88,98.37,58.0,68.0,-49.47,-38.36,137706,-0.28,18.04,3.56,11671349,28.88630696,1.1,0.11,6219533,23.51926861,1.09,13.64
2008-07-01,1.66,2.57,4.01,219.016,5.5,133.37,79.94,62.0,37.0,-38.82,-59.43,137508,-0.4,18.1,3.67,11774491,28.93086779,0.88,0.15,6262431,23.58027331,0.69,4.0
2008-08-01,1.75,2.42,3.89,218.69,5.31,116.67,61.24,62.0,37.0,-38.82,-59.43,137229,-0.58,18.18,3.89,11699357,28.97331086,-0.64,0.15,6233425,23.38297049,-0.46,0.0
2008-09-01,1.15,2.08,3.69,218.877,4.95,104.11,30.27,62.0,37.0,-38.82,-59.43,136769,-0.97,18.2,3.64,11590454,29.00454845,-0.93,0.11,6216327,23.85153666,-0.27,0.0
2008-10-01,0.69,1.61,3.81,216.995,3.73,76.61,-10.71,68.0,55.0,-10.16,-34.86,136288,-1.38,18.25,3.81,11659148,28.75464427,0.59,-0.86,6275450,24.08149388,0.95,3.85
